Artist,Image URL
Buba Espinho,https://i.scdn.co/image/ab6761610000e5ebbb06ec8b4a85ca133459c638
sombr,https://i.scdn.co/image/ab6761610000e5eb2550006e2746e5af5b2e0545
Alex Warren,https://i.scdn.co/image/ab6761610000e5ebe5547931c7f652c2ece8b76c
ROSÉ,https://i.scdn.co/image/ab6761610000e5ebcfb4350222919670128ff2dc
Chappell Roan,https://i.scdn.co/image/ab6761610000e5ebcde5a0d57c1b79de5fce6bee
HUGEL,https://i.scdn.co/image/ab6761610000e5eb343b799b41a8c308fb4a72c2
Gigi Perez,https://i.scdn.co/image/ab6761610000e5ebd58f13475be93b37bb63893f
ATLXS,https://i.scdn.co/image/ab6761610000e5eb0dbdfe724b5e256b8ed0327a
Myles Smith,https://i.scdn.co/image/ab6761610000e5eb955e2a4be7f5c90a68372bf5
Alleh,https://i.scdn.co/image/ab6761610000e5eb43ce88c0c0a38f7279ff6c43
Lola Young,https://i.scdn.co/image/ab6761610000e5eb72440981cd31315dbf45d359
Adam Port,https://i.scdn.co/image/ab6761610000e5eb722acdd4bb9e3aac45436d08
MoBlack,https://i.scdn.co/image/ab6761610000e5ebd4aba6e62023b056c348e045
Nilo,https://i.scdn.co/image/ab6761610000e5eb10538a130690ef8a7cf15149
DJ TOPO,https://i.scdn.co/image/ab6761610000e5eb78a0179d59f8e3e5c8bd99e7
Oruam,https://i.scdn.co/image/ab6761610000e5ebaf6868caa7ef16a13dbc7a9b
DJ NATAN 22,https://i.scdn.co/image/ab6761610000e5ebd5d492fbf09ef4a1abe15eeb
Boladin 211,https://i.scdn.co/image/ab6761610000e5ebfe20b58d1312fba0b51170ac
MC Tuto,https://i.scdn.co/image/ab6761610000e5eb23079308d04f2ceb86177503
J. Eskine,https://i.scdn.co/image/ab6761610000e5eba0352c05797cfb3cf90db141
DJ Malvado,https://i.scdn.co/image/ab6761610000e5eb55aa62db4096a48c477ccec5
Bluay,https://i.scdn.co/image/ab6761610000e5eb47b9f2bb0879699307c4853a
Ivandro,https://i.scdn.co/image/ab6761610000e5eb7ea40ca99cb7044f6970cfd6
