Year,Track Name,Artists,Popularity,Duration (min),Spotify URL
2017,PRIDE.,Kendrick Lamar,84,4.59,https://open.spotify.com/track/6IZvVAP7VPPnsGX6bvgkqg
2017,Teenage Fever,Drake,83,3.66,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo
2017,Solo,Future,83,4.43,https://open.spotify.com/track/4lH6nENd1y81jp7Yt9lTBX
2017,Mercy,Shawn Mendes,82,3.48,https://open.spotify.com/track/0AS63m1wHv9n4VVRizK6Hc
2017,Downtown,"Anitta, J Balvin",79,3.22,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
2017,Hasta el Amanecer,Nicky Jam,78,3.31,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS
2017,Deixe Me Ir (feat. Pablo Martins) - Acústico 1Kilo,"1Kilo, Baviera, Knust, Pablo Martins",74,3.55,https://open.spotify.com/track/6JKkP9ABQzYZUFSKSVDKIc
2017,Anos Luz,Matuê,73,4.4,https://open.spotify.com/track/0GYPcKDlsb8WEtJkkKdtgH
2017,3 Dias Virado,Mc IG,71,3.45,https://open.spotify.com/track/7DROtyR6IMNifyZmyksyE7
2017,Fazer Falta,"Mc Livinho, Perera DJ",70,3.52,https://open.spotify.com/track/6vZbWgHWITDgEe6a2aOUqY
2017,Cara Bacana,MC G15,67,3.88,https://open.spotify.com/track/1RljKrmC3uVtuP8w0RW2xk
2017,Amar Amei,Mc Don Juan,66,3.63,https://open.spotify.com/track/3vqZC9Pp8ft72lkD6oauJl
2017,O Grave Bater,MC Kevinho,66,3.03,https://open.spotify.com/track/6cEJheMNRySY0kBB31jtdk
2017,Jajão,Master Jake,57,4.13,https://open.spotify.com/track/7jIvuTTEpVMX0DSMeLodWp
2017,A Nossa Vez,Calema,56,3.63,https://open.spotify.com/track/3sAPE5410uBr6M3kcXCgV9
2017,Demónio da Tarraxinha,Badoxa,56,3.73,https://open.spotify.com/track/5adVjX7AYUXJxoKXDISPZy
2017,Do You No Wrong,Richie Campbell,55,4.05,https://open.spotify.com/track/6FInCuMbSlhdlkiFv36KUi
2017,Não Sinto,Wet Bed Gang,54,5.18,https://open.spotify.com/track/2BF9z8N3lFT7gBKhEzTmMT
2017,Rainha,Virgul,54,3.16,https://open.spotify.com/track/1ALqTZkiENayQhd1KXzDGP
2017,O Homem Do Leme,Xutos & Pontapés,53,4.68,https://open.spotify.com/track/3HBXHBR1BS1FCSC5OhvYij
2017,Esquece o Mundo,Yasmine,53,4.11,https://open.spotify.com/track/0gw6hPWRGurEC0G9SP7oDO
2017,I Need This Girl,Virgul,51,3.75,https://open.spotify.com/track/0t4xeyXDGIqFMixr7Owwel
2017,Não Se Passa Nada,Piruka,51,2.57,https://open.spotify.com/track/7AcZsdwJFJEPxGwr2ErOvu
2017,Water (feat. Slow J),"Richie Campbell, Slow J",51,5.22,https://open.spotify.com/track/58dElABzeDBwfhttWGf6n1
2017,Sentir o Sol,Os Quatro e Meia,50,3.79,https://open.spotify.com/track/70GRlXUPxqaiv1JZCoAKYn
2017,Se Não Acordar Amanhã,Piruka,50,3.41,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
2017,O Clima,"Lhast, Dillaz",50,3.96,https://open.spotify.com/track/5fh5ROgEFMMQ0DjPS1VAxm
2017,Vai,Calema,48,5.37,https://open.spotify.com/track/0UMENt5lQEav4Nl081rUtG
2018,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA",93,3.87,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
2018,lovely (with Khalid),"Billie Eilish, Khalid",89,3.34,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
2018,No Lie,"Sean Paul, Dua Lipa",87,3.69,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
2018,Call Out My Name,The Weeknd,86,3.81,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN
2018,Shallow,"Lady Gaga, Bradley Cooper",86,3.6,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
2018,God's Plan,Drake,85,3.32,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
2018,Always Remember Us This Way,Lady Gaga,85,3.5,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
2018,SICKO MODE,Travis Scott,85,5.21,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
2018,I Was Never There,"The Weeknd, Gesaffelstein",85,4.02,https://open.spotify.com/track/1cKHdTo9u0ZymJdPGSh6nq
2018,Lucid Dreams,Juice WRLD,85,4.0,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
2018,Happier,"Marshmello, Bastille",85,3.57,https://open.spotify.com/track/7BqHUALzNBTanL6OvsqmC1
2018,X (feat. Maluma & Ozuna) - Remix,"Nicky Jam, J Balvin, Maluma, Ozuna",84,3.93,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
2018,Bad Liar,Imagine Dragons,84,4.35,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
2018,BUTTERFLY EFFECT,Travis Scott,83,3.18,https://open.spotify.com/track/2cYqizR4lgvp4Qu6IQ3qGN
2018,Natural,Imagine Dragons,83,3.16,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
2018,Amanece,"Anuel AA, Haze",83,3.17,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
2018,Dusk Till Dawn (feat. Sia) - Radio Edit,"ZAYN, Sia",83,3.98,https://open.spotify.com/track/3e7sxremeOE3wTySiOhGiP
2018,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",83,3.58,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
2018,rockstar (feat. 21 Savage),"Post Malone, 21 Savage",83,3.64,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
2018,Dancing On My Own,Calum Scott,82,4.34,https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ
2018,Felices los 4,Maluma,81,3.83,https://open.spotify.com/track/1RouRzlg8OKFeqc6LvdxmB
2018,Vaina Loca,"Ozuna, Manuel Turizo",80,2.94,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
2018,MALA (feat. Anuel AA),"6ix9ine, Anuel AA",80,3.44,https://open.spotify.com/track/5tYCl2bT9bDjMuTyn6OVb0
